,Sentence,Sentiment,target,cleaned_text
56,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,0,SysOpen Digia accordance chapter 14 section 21 Finnish Companies Act 29.9.1978 734 obtain title share Sentera redeem
57,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,0,diluted earning share EPS fall EUR 0.63 EUR 1.71
58,"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,0,"3:37 p.m. eastern time block 2,400 contract change hand bid price $ 0.45"
59,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,0,recent technology delivery include refinery technology Anrak Aluminium iron ore pelletize plant Tata Steel iron ore sinter plant Bhushan Steel
60,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,1,$ vips similar pattern like beginning May. u sell high drop
61,The firm generated sales of 187 mln eur in 2005 .,neutral,0,firm generate sale 187 mln eur 2005
62,"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,0,Stora Enso meeting labor authority Employment Economic Development Centres representative government order find solution
63,AstraZeneca profit down as sales of stalwarts fade,negative,-1,astrazeneca profit down sale stalwart fade
64,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,1,RT @andrewnyquist Chartology Yahoo http://stks.co/1itr $ YHOO crazy look chart near breakout resistance line
65,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,1,bullish stock Twitter dip $ YHOO $ GDX $ googl $ STZ $ GOLD $ EW $ vz $ CELG $ SBUX $ SCTY https://t.co/iuZJelfwt3
66,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,-1,"Finnish GeoSentric net sale decrease EUR 939,000 January March 2009"
67,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,0,Cohen Steers Inc. 5 534 626 share represent 4.985 share capital voting right
68,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,1,staff recruit Japan complement network close 50 service location 20 country worldwide
69,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,0,paper company negative territory Stora Enso R shed 1.62 pct 12.73 eur UPM Kymmene down 0.80 pct 18.64 eur M real b 0.18 pct low 5.57 eur
70,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,0,Kauko Telko centralized administration dissolve appropriate part transfer operating activity Group administration end year
71,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,0,operate profit quarter April June 2006 amount EUR182 .2 m sale EUR3 .62 bn
72,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,0,Atria choose DeLight attract consumer 25 45 age group Atria Fresh range microwaveable meal
73,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,0,"finnish solution provider Affecto Oyj HEL afe1v say today slip net loss EUR 115,000 usd 152,000 second quarter 2010 profit EUR 845,000 corresponding period year early"
74,US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,-1,sanction Gazprom Shell alliance plan jeopardy
75,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,0,profit period EUR 10.9 mn down EUR 14.3 mn 2009
76,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,1,profit period EUR 5.9 mn EUR 1.3 mn
77,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,0,operate profit fall EUR 20.3 mn EUR 74.2 mn second quarter 2008
78,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,1,sale return growth April June 2010 ceo Pekka Eloholma say
79,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,0,operate profit total EUR 18.6 mn 8.3 net sale
80,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,-1,change market situation tough price competition substantially reduce demand bread packaging manufacture Kauhava plant accord company
81,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,0,connection deal Digia employ 19 person Nokia Oslo Silicon Valley USA
82,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,1,"brazilian unit finnish security solution provider F Secure sign 1,500 new client year online news source Reseller Web quote division commercial director Vladimir Brand+úo say"
83,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,0,fair value company investment property go down EUR 2.768 billion end 2009 EUR 2.916 billion year early
84,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,-1,dealer say share largely hit investor disappointment refining margin 9.48 usd barrel quarter performance shipping unit see EBIT drop 5 mln eur 20 mln eur year amid fall volume tanker rate
85,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,0,` testament quality LTE solution commitment japanese market add
86,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,0,company aim finalize negotiation sign contract start October 2008
87,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,0,Metso foundry Jyvaskyla Oy discontinue production line 30 September 2008 company say
88,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,0,total poll analyst rate M real give ` ` buy ` ` accumulate give ` ` hold give ` ` sell
89,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,1,September 2010 finnish group agree buy danish company Rose Poultry s EUR23 .9 m combination cash stock
90,$YANG Double bottom 5.2,positive,1,$ yang double 5.2
91,Tesco share price down as grocer faces SFO investigation outcome,negative,-1,tesco share price down grocer face SFO investigation outcome
92,$aapl news is becoming very bullish again http://stks.co/tMU,positive,1,$ aapl news bullish http://stks.co/tMU
93,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,0,GS Engineering install valve liquefy natural gas lng plant build UAE LNG extraction gas plant operator gasco Ruwais UAE
94,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,0,percentage share voting right calculate proportion total number share register Trade Register total number voting right relate
95,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,0,M Real say ` no ground rumor ` circulate market month
96,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,0,Lember say matter topical Estonia bill draft Social Affairs Ministry scrap old age pension favorable condition
97,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,0,Moody say give p a1 long term senior unsecured p p-1 short term debt rating finnish lender Aktia Bank eur1bn USD1 .4 bn euro medium term note EMTN program 25 March 2011
98,$TSLA recall,negative,-1,$ tsla recall
99,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,0,liquidity providing interrupt 11 2007 Aspocomp Group Oyj share trade 0.50 cent Aspocomp stock exchange release 11.5.2007
100,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,1,Hargreaves Lansdown buck weak market asset rise 2.6 percent
101,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,-1,"12.59 pm OMX Helsinki 25 index 0.32 pct lower 2,694.81"
102,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,0,decision mean temporary lay off fix duration company Nastola Jyvaskyla unit southern central Finland respectively
103,The value of the orders is over EUR 10mn .,neutral,0,value order EUR 10mn
104,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,0,Ms Laakso responsible HKScan hr function development Group ` smarket area
105,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,0,fiskar engage global supply marine energy equipment solution service associated company Wartsila Corporation
106,Aberdeen Asset Management Gains Foothold In China,positive,1,Aberdeen Asset Management Gains Foothold China
107,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,0,Finland dominate rail company VR plan set infected passenger long distance trip separate carriage
108,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,0,November finnish government decrease ownership company 31.1 percent 38 percent
109,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,0,Finnish Exel Composites technology company design manufacture market composite profile tube industrial application report net sale decrease 0.6 second quarter 2010 EUR 19.2 mn EUR 19.3 mn corresponding period 2009
110,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,0,Bavelloni NST joint venture Bavelloni Tools complete semiproduct produce Italy high quality tool sell DiaPol brand
111,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,0,tool patent pende design allow consumer lay entire project removable plate multiple clear stamp kind
112,$GOOGL is a short below 740 into the upper BB and is overbought,negative,-1,$ googl short 740 upper BB overbought
113,"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,0,light curfew curl late bestseller treat your eye perfect reading light Luceplan
114,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,-1,UPM Kymmene Corp. world large maker magazine paper Tuesday report 19 percent profit drop low paper price high cost strong euro hurt revenue
115,The total value of the contract is some EUR 8 million .,neutral,0,total value contract EUR 8 million
116,"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,0,prerequisite inclusion program receipt gain key employee acquire Aspo share determine Board advance maximum
117,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,0,Mr. Doring Eaton since 1989 act Business Unit Manager Eaton Power Controls Business Unit since January 2007
118,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,1,"250 sq m 2,691 sq ft store Copenhagen premier shopping district inaugurate today strengthen company presence nordic capital"
119,"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,0,financial statement quarter 2010 Tikkurila report discontinue operation
120,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,1,world second large stainless steel maker say net profit month period Dec. 31 surge euro603 million us$ 781 million euro3 .33 us$ 4.31 share euro172 million euro0 .94 share previous year
121,"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,0,Applicant Jot Automation oyname Inventor Mammila Tuomo Piirainen Mika Kellokoski MikaApplication 2424 kolnp-2008 ADate filing application 16 06 2008publication date 30/01/2009
122,Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,1,Netflix grow effort create Loyal Customers $ NFLX https://t.co/5QXBkoBphe
123,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,-1,"omx Nordic 40 omxn40 index comprise 40 trade nordic stock Nasdaq omx exchange close down 0.87 1,064.14 point Thursday"
124,$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,1,$ AAPL nibbling small long 525 buy 13min chart
125,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,-1,operate margin Aker Yards Cruise Ferries division go down 8.3 6.4 quarter 2007
126,"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,1,$ TYC break new high lot technical look great right
127,"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,0,Eero Katajavuori currently Group Vice President Human Resources year long sabbatical start October 1 2010
128,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,0,s $ LULU number look good not great good think conference instill confidence
129,The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,0,adjustment measure carry phase secure delivery capability
130,"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,0,Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT PAIKALLISSANOMAT buy SUOMEN PAIKALLISSANOMAT local paper Tyrvaan Sanomat Paikallissanomat appear Sastamala neighbouring municipality buy Suomen Paikallissanomat Oy
131,"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,-1,temporary lay off affect entire workforce implement
132,"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,0,meeting medium analyst hold same day 10:30 a.m. Stonesoft Headquarters Helsinki Italahdenkatu 22 a. Interim report present Stonesoft ceo Ilkka Hiidenheimo
133,"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,0,Finnish Sampo Rosenlew manufacture approximately seven forest machine monthly half machine export
134,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,1,Facebook near buy point week face different technical test today https://t.co/c72LLMpiNM $ FB $ AAPL $ NFLX https://t.co/fPFbYTYPuY
135,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,1,4 February 2011 finnish broadband datum communication system provider Teleste Oyj HEL TLT1V say Wednesday net profit rocket EUR4 .8 m 2010 EUR416 000 2009 lift dividend proposal
136,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,1,$ free ha Heeeeeere come pump glad pick 9 k end day ready bull ride
137,"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,1,finnish technology group Aspocomp Group Oyj omx Helsinki ACG1V issue quarter report Thursday 13 November post operate profit EUR0 .4 m compare loss EUR0 .5 m quarter 2007
138,"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,0,"building complex consist high quality office retail space total 49,200 square metre company say"
139,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,0,finnish insurance company Fennia Kesko Group end loyal customer cooperation
140,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,0,unit plan operational second half 2007 stream 2008
141,"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,0,"ITG share deal estimate 500,000 euro $ 627,000"
142,The plant is expected to enter commercial operation by mid-2009 .,neutral,0,plant expect enter commercial operation mid-2009
143,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,0,Aspo investigate sale opportunity Kaukomarkkinat electronics business
144,BG Group appoints new CEO one month early,neutral,0,BG Group appoint new CEO month early
145,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,1,acquisition immediate positive impact Aspocomp financial result
146,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,-1,Finnair passenger load factor measure number sell seat share available seat drop 1.3 percentage point 76.7 September
147,RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,1,RT @bman1 $ LNG look prime $ eght poise run
148,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,1,7.7 pct 12 month volume weight average price stock
149,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,0,Coke dividend 3 Google dividend 0 passive income Coke take $ GOOG $ KO https://t.co/QBsoWjxOST
150,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,1,profit taxis EUR 5.4 mn EUR 3.6 mn year early
