,textID,text,selected_text,sentiment
112,5a4aa22d6d,http://twitpic.com/4wsst - one of my models from a photo shoot.  stacey,http://twitpic.com/4wsst - one of my models from a photo shoot.  stacey,neutral
113,eb5710f661,You fooled me!,You fooled me!,neutral
114,a86cb5bc62,Watching next day air,Watching next day air,neutral
115,cf6a2c6ff0,Major iPhone problems  Wont let me send texts BUT I can do everything else! Can anyone help,Major iPhone problems  Wont let me send texts BUT I can do everything else! Can anyone help,neutral
116,69761e3105," oh dear, thats not good - I hope you get through it all with a smile","oh dear, thats not good - I hope you get through it all with a smile",neutral
117,166692c093,is back in fine old melbourne town....,is back in fine old melbourne town....,neutral
118,c340365111, Yeah I`m kinda glad I did stay home,I`m kinda glad,positive
119,950de77eba," thanks, feeling good and off to New Forest later","thanks,",positive
120,51c067cad1, http://twitpic.com/4wh4d - LAUREN is AMAZING....well from what I see on the hills lol  Seem like a great friend to have!!,- LAUREN is AMAZING....well from what I see on the hills lol  Seem like a great friend to have!!,positive
121,56a6f86f09," yea it looks good, the flower i mean.","yea it looks good,",positive
122,4dee8191b6, I saw them a few on this tour a few months ago in Boston. So good! Glad you finally got to see them,So good! Glad you finally got to see them,positive
123,8aed02e764," hmm, okayy, im really sorry to hear about it  why do you thikn she would have done that? :S",really sorry,negative
124,9c714208c7, hello- i`d like a little chat- but can`t DM you- is there a mail id?,hello- i`d like a little chat- but can`t DM you- is there a mail id?,neutral
125,680d8cfd98,*cough cough hack hack,*cough cough hack hack,neutral
126,be3c17bd0c, tres rude VICTOR!  :\,tres rude VICTOR!  :\,neutral
127,4c4396c94e, dont think me ugly - but tha dumb **** is lookin a lill betta - an he know it!,dont think me ugly - but tha dumb **** is lookin a lill betta - an he know it!,neutral
128,4e6519d0f9,I was kinda looking forward to seeing Seann William Scott in the office today,I was kinda looking forward to seeing Seann William Scott in the office today,neutral
129,2dd26c6fde,going to bed.   goodnight,goodnight,positive
130,fff7588458, lmfaaoooo i just watched the Pink video....you know me to well i love it...soooo me lol,.you know me to well i love it...soooo me lol,positive
131,6e43b67d10,_ yeah sorry i was busy last night  ill try and go next week!,sorry i was busy last night,negative
132,878022b533," Haha, she`s up here to stay, it`s nearly 2 hours on the coach for her to get here, may not be convenient for an hour of TV!",may not be convenient,negative
133,331a971b5b, Good luck.. I have still to get wireless working post IT6,Good luck.,positive
134,bd771c7f13,"No running for the past couple of days due to bad knee   Still, Guitar Hero Metallica arrived and has kept me amused...Time to ROCK!!!","No running for the past couple of days due to bad knee   Still, Guitar Hero Metallica arrived and has kept me amused...Time to ROCK!!!",neutral
135,e2d83d127c,to save my heart I think Imma let go! I can see myself getting hurt with you!,hurt,negative
136,708146bac2,Im so done defending him. Im going to bed and im gonna give my mom a happy mothers day.  at least ill try.,Im so done defending him. Im going to bed and im gonna give my mom a happy mothers day.  at least ill try.,neutral
137,7c8019cd32, aww  im ok been stuck on a coach coming back from nans today and its been lovely sunshine too  ****,n lovely,positive
138,756dc9fd89,"Work, work, work","Work, work, work",neutral
139,2753a310f4,stupid HIP!! I hate you!! And I can`t even break in my new kicks!!!  GRRRR!,stupid HIP!! I hate you!! And I can`t even break in my new kicks!!!  GRRRR!,negative
140,ae90a639f3, here`s a quote for ya: jesus built a bridge with 2 boards and 3 nails.,here`s a quote for ya: jesus built a bridge with 2 boards and 3 nails.,neutral
141,c599d5f99f,Wearing glasses gives me a headache.,headache.,negative
142,dd93bc837c, you`re missing the devil wears prada!!!!! sad...,sad.,negative
143,e2f23f18e5,I hope my mom enjoys her Mother`s Day gift,enjoys,positive
144,c3738f9d0b, I feel sorry for your nails. lol... I feel fine thank you,I feel sorry for your nails. lol... I feel fine thank you,neutral
145,25c70e20a1, I like that term 'today list' - better than 'to-do list',like,positive
146,7379648432,absolutely gutted that i`m not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!,absolutely gutted that i`m not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!,negative
147,2c41638c49,cant sleep again! I couldnt sleep last night eather!  *Wabble Wabble*,*Wabble Wabble*,negative
148,a9759a6d87,"  Dany, meet Sorcha, Sorcha, Dany.   Now you know each other. :-p","Dany, meet Sorcha, Sorcha, Dany.   Now you know each other. :-",neutral
149,0911720318,Get into me not going. lol at least I didnt get my hopes up,didnt get my hopes up,negative
150,0f059b2135,"just got up, smoking a cig and drinking coffee.. i need to start working on my final project for the univ","just got up, smoking a cig and drinking coffee.. i need to start working on my final project for the univ",neutral
151,8cd1d0b034,_y_Tony and didn`t bring me any????  You suck,You suck,negative
152,6b4889d77e,On a brighter note.. still at work at 6:15 on Friday working on other peoples problems...  oh man. I`m SO eating pizza tonight. hoorah!,On a brighter note.. still at work at 6:15 on Friday working on other peoples problems...  oh man. I`m SO eating pizza tonight. hoorah!,neutral
153,068d7d2a96,sittin by the fire...yes!,sittin by the fire...yes!,neutral
154,1b9f9121ae," Hey David, I`m wondering if you received a letter that has a song in it? From Malaysia? please reply  and have a nice day!",a nice,positive
155,8f16f89937,ans so the lion.......kicked the dogs ****!!!!,kicked,negative
156,50995ccb90,Chillin at a bbq gettin my drink on,Chillin,positive
157,d32076c439,nothin to do,nothin to do,neutral
158,7a98f649f5,I just got smashed in the face by a 5th grader thowing a football... Twice. Now I bleed,I just got smashed in the face by a 5th grader thowing a football... Twice. Now I bleed,neutral
159,29e3d675e8,speechless,speechless,neutral
160,6a0a05c403,uploading pictures on myspace,uploading pictures on myspace,neutral
161,eaf71d8ca3,"Omg at Hollie! That was well sad to watch!  See, Simon can be well nice when he wants to be! lol",sad,negative
162,20c6e401e9, do you ever respond to ppl?,do you ever respond to ppl?,neutral
163,b86562c13e, Morning Sunshine,Morning Sunshine,neutral
164,f1b2f6180f, my phone died,my phone died,negative
165,67fd14df38,"Is getting excited for the weekend.......Or, hang on, i am going to be all alone   never mind, excitement lost","Is getting excited for the weekend.......Or, hang on, i am going to be all alone   never mind, excitement lost",neutral
166,ac765f53e0, they don`t use MSN either I don`t think  and they are thousands of miles away so can`t do it face to face,o can`t do it,negative
167,cb0177a6cb, that`ll do it too,that`ll do it too,neutral
168,03df5398ac, lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,joke,positive
169,0aecba1afd, Black Russians makes me think of a 'white russian' and this movie quotation: 'that rug really tied the room together.',Black Russians makes me think of a 'white russian' and this movie quotation: 'that rug really tied the room together.',neutral
170,b0bdacb415, oops I meant 19th  snowdaysss..,oops,negative
171,c6cfda6458,  _Vincent  @ i missed the party!!!!  i bought wine and everything!!!,@ i missed the party!!!!  i bought wine and everything!,negative
172,e65b7e5c79,"Yeah, my brain does rock!  I am happy to share my knowledge with you Carrie",my brain does rock!  I am happy to share my knowledge with you Carrie,positive
173,44aa927637,cook ; do you wanna measure my ****? its daddy-size.,cook ; do you wanna measure my ****? its daddy-size.,neutral
174,8ab1031a63, http://twitpic.com/48gy0 -  He`s Well Cooool ;) Lovve The Ro&Co Shoooow,He`s Well Cooool ;) Lovve The Ro&Co Shoooow,positive
175,ada9007d94,"to  and , thanks for following me.","to  and , thanks for following me.",positive
176,3a48b8309e,Happy Birthday tooo meeee... Happy Birthday tooo meeee...,Happy Birthday tooo meeee...,positive
177,714774e9f5,_Roy i tell them it`s facebook minus everything but the status updates.,_Roy i tell them it`s facebook minus everything but the status updates.,neutral
178,612dabd0ef, Good morning and thank you for the re-tweet. Have a great day yourself.,great,positive
179,f6ef0d5e95,Saw the UCLA bookstore...now convinced that every single major university has a better bookstore than    Having fun so far!,better,positive
180,ef7b7a232d,O`Charleys? Pretty good. Especially when its free. Hot waitress? I think so. Back to work? Unfortunately.,Pretty good.,positive
181,ebeeec2b06,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,neutral
182,526560ae74," Also it has a dense treatment of CPS and Continuation based Interpreter design, which is not there in SICP. Good to have both",Good to have both,positive
183,eefa2df77a,  Way too many people indeed... I only recognize the Chinese guy... LOL,. LOL,positive
184,a34aacaeeb,'Friends are the same soul different bodies.' Plato,Friends,positive
185,80cb4deb25," this has been like the never ending story....all I seem to be doing is packing and now unpacking!!! Soon over, great here","this has been like the never ending story....all I seem to be doing is packing and now unpacking!!! Soon over, great here",neutral
186,4fa84485e3,  My class will be at Chem Sc building. Will see the both of you after 5 yeah?,My class will be at Chem Sc building. Will see the both of you after 5 yeah?,neutral
187,0eb64de976,Let me google that for you http://lmgtfy.com/,Let me google that for you http://lmgtfy.com/,neutral
188,e87840d30b,waaa the octo drive and i can`t go for it,waaa th,negative
189,4440f50034, yup-unfortunately  Took today off work and just slept all day.,-unfortunately,negative
190,1aaf4154a5,My throat is killing me,My throat is killing me,negative
191,55e0e8fdaa, I am lost. Please help me find a good home.,I am lost.,negative
192,e5d025bc1c, Really worth watching at the cinema.  Mum really enjoyed it,Really worth watching at the cinema.  Mum really enjoyed,positive
193,695313d658,Missing my mother... t-11 days! HAPPY MOTHER`S DAY!!,HAPPY MOTHER`S DAY!!,positive
194,a09319fc65, hey you!,hey you!,neutral
195,fe590c2fad,_WOCKEEZ  Don`t wanna miss ANY of your shows...you guys kick it! Sad to say...my plane is in the shop...,Sad to say.,negative
196,958d33722d,Trying to save money for an iPod touch!,Trying to save money for an iPod touch!,neutral
197,719848cf86," did you see Star Trek yet?  i`ve seen it, twice already! i didn`t like it the first time, the second time was way better!!! hahaha","did you see Star Trek yet?  i`ve seen it, twice already! i didn`t like it the first time, the second time was way better!!! hahaha",neutral
198,a7da7594d7, I totally did go! and he was AMAZING. He`s is the reason I bought the tix. He only did 3 songs. But Blood Bank was 1.,he was AMAZING.,positive
199,86dac3a2ef,"it`s you and me forever ?, it`s you and me right now   flywithmeobsessive. Im crying",m crying,negative
200,403d7770b6,summer clothes panic over..I see rain clouds !!  still going swimming though..I`m feeling in a holiday mood,summer clothes panic over..I see rain clouds !!  still going swimming though..I`m feeling in a holiday mood,neutral
201,6814ce7076,Thanks to all who follow me  ... wish ya`ll the best ;),Thanks to all who follow me  ... wish ya`ll the best ;),positive
202,1408abd8b6,I`ve experienced apathy over empathy in customer service situations too many times recently.,I`ve experienced apathy over empathy,negative
203,8f1b901004,Goodmorning,Goodmorning,positive
204,acf41e35a0,watching two of my patients die tonight has put me in a funk. one was young.,has put me in a funk.,negative
205,b442848223,"Season 2 of The Wire, done! Kinda weak compared to the first season but I expected that... Still good though  Season 3 here I come!",Still good though,positive
206,1667f11b8a," Oh yea, my pain went down a little bit from laughing so hard which was good and nice for once.","Oh yea, my pain went down a little bit from laughing so hard which was good and nice for once.",positive
207,6ec6b3a1ef,just in imagination,just in imagination,neutral
208,4cbb0916e6," LMOA! i just quit one of mine, too much stress",too much stress,negative
209,9def047bc7,  Will certainly do that.,Will certainly do that.,neutral
210,a217ff15ad,What do you think I`m doing at the moment? Yeah you guessed it  http://www.phoenixfm.com/listen-now.php,What do you think I`m doing at the moment? Yeah you guessed it  http://www.phoenixfm.com/listen-now.php,neutral
211,44cb13a70e,Crossing the bridge....leaving ocean city  I`m sad.,I`m sad.,negative
212,c1da56d4c5,Watchin `how to lose a man in 10 days` wiv mum  lol,Watchin `how to lose a man in 10 days` wiv mum  lol,neutral
213,67be0789d3,I`m hurtling headlong into a day of spanish and art. but my view is: after tomorrow it`s just REVISION and extra frees,hurtling,negative
214,e4b5c7a36d, She must be a were-Wookiee then,She must be a were-Wookiee then,neutral
215,1b61d2b61b,@_writersblock_ I`m sure you are.    Toasties wasn`t far behind.,I`m sure you are.    Toasties wasn`t far behin,neutral
216,ba1538f5be,back from the yoga retreat. I recommend this to everyone,I recommend this to everyone,positive
217,47779c7c08,Just ordered an ASUS Eee PC.,Just ordered an ASUS Eee PC.,neutral
218,ede0fe4371, i feel like tweeting you for no reason. so um hiiiiii.,i feel like tweeting you for no reason.,negative
219,dca89f2fc5, It`s http://chelseavantol.etsy.com xo,It`s http://chelseavantol.etsy.com xo,neutral
220,c5bfa7f3b0,Found out that one great thing about living in Switzerland is the delicious bread - sometimes little things can make a difference,delicious,positive
221,80c3198d43,I`m holding Audrey (mine and Erica`s bean bag thing),I`m holding Audrey (mine and Erica`s bean bag thing),neutral
222,166fff6a4e, Yep! It`s just quarter til 4 now.  I`m going to try to sleep now that my headache is subsiding. Take it easy Teddy!,y headache,negative
223,3aa0a2d56b,i changedd my background  its from picnik.,i changedd my background  its from picnik.,neutral
224,89d91d9f60,http://twitpic.com/67jzp McFly concerts through the years [H]... Don`t have my `06 one though  :/,http://twitpic.com/67jzp McFly concerts through the years [H]... Don`t have my `06 one though  :/,neutral
225,51f73b5756,is gutted to be at work when it is sooo nice outside,gutted to be at work,negative
226,934ef37b4f, playing with image,playing with image,neutral
227,fe7b5ed892,", oh noooo!  if i blow a tire you`re reaaaally going to have to send up some batman smoke.",", oh noooo!  if i blow a tire you`re reaaaally going to have to send up some batman smoke.",neutral
228,71864df07e,"I feel like drinking wine, but I don`t have any.","I feel like drinking wine, but I don`t have any.",neutral
229,e8ca1ed0ca,_ryall What if I thought I was a Star Trek person but I wasn`t all that crazy about the new movie?,wasn`t,negative
230,5c125be284, so what cereal do you usually like?,so what cereal do you usually like?,neutral
231,5842092fa2,When we got more followers we gonna have a competition.Hope you all look forward !,When we got more followers we gonna have a competition.Hope you all look forward !,positive
232,740440b63b, WASSUP BEAUTIFUL!!! FOLLOW ME!!  PEEP OUT MY NEW HIT SINGLES WWW.MYSPACE.COM/IPSOHOT I DEF. WAT U IN THE VIDEO!!,WASSUP BEAUTIFUL!!! FOLLOW ME!!  PEEP OUT MY NEW HIT SINGLES WWW.MYSPACE.COM/IPSOHOT I DEF. WAT U IN THE VIDEO!!,neutral
233,8b56f49b81,  Thanks! My mom`s seed is larger and already cracked (and planted). I hope Avalina isn`t a dud!,. I hope Avalina isn`t a dud!,negative
234,68d0838436,tired but have a lot to do.  Looking forward to tabletop gaming tomorrow as a break from my constant programming,tired but have a lot to do.  Looking forward to tabletop gaming tomorrow as a break from my constant programming,neutral
235,718be3c9e6, LMAO!!! Man I was so bummed when she stopped braiding,bummed,negative
236,298ff61eed, my cat!!,my cat!!,neutral
237,8ba1ee3981,****... long shift tonight... I really should sleep but I`m not tired. Had a nice talk with Jon after work  Gotta love that boy!,****... long shift tonight... I really should sleep but I`m not tired. Had a nice talk with Jon after work  Gotta love that boy!,neutral
238,cbb09fcdbd, Good Morning Chairman of the board! www.youtube.com/watch?v=ivFM0pYyUcy its a living thing....!,Good,positive
239,864ac2efed,"Cupcakes, creme brulee, tiramisu~ I want some sugar","Cupcakes, creme brulee, tiramisu~ I want some sugar",neutral
240,0e6141fd71,missing my bffls! missing my friday night dates!  hot dogs for dinner then who knows what the evening holds!,missing my bffls! missing my friday night dates!,negative
241,7a45bfbd8e,Apperently ea knows my copy of the sims 3 is not legit and is upset,upset,negative
242,71effc499c,Well hello twitters,Well hello twitters,positive
243,c5c63e8b79, congrats! You`re the first person i`ve heard/read say that today,congrats!,positive
244,de186a093c, morning Bill,morning Bill,neutral
245,f962ba7770,The ultimate shirt folding tool (http://www.flipfold.com/)- I saw  using this in one of Big Bang Theory`s episodes,ultimate,positive
246,2216319607, tomorrow night would definitely work,tomorrow night would definitely work,neutral
247,fcd1e9a093," yes mate, on Friday","yes mate, on Friday",neutral
