,label,text,target,cleaned_text
13,positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",1,clothing retail chain Sepp+Æl+Æ sale increase 8 EUR 155.2 mn operating profit rise EUR 31.1 mn EUR 17.1 mn 2004
14,positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",1,consolidated net sale increase 16 reach EUR74 .8 m operate profit amount EUR0 .9 m compare loss EUR0 .7 m prior year period
15,positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",1,foundry division report sale increase 9.7 EUR 63.1 mn EUR 57.5 mn corresponding period 2006 sale Machine Shop division increase 16.4 EUR 41.2 mn EUR 35.4 mn corresponding period 2006
16,positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",1,HELSINKI AFX share close higher lead Nokia announce plan team Sanyo manufacture 3 g handset Nokian Tyres fourth quarter earning report beat analyst expectation dealer say
17,positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",1,Incap Contract Manufacturing Services Pvt Ltd subsidiary Incap Corporation Finland plan double revenue 2007 2008
18,positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",1,board director propose dividend EUR0 .12 share 2010 EUR0 .08 share pay 2009
19,positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",1,lifetree found 2000 revenue rise average 40 margin late 30
20,positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",1,Filippova trilateral agreement investment construction technology park St Petersburg sign course forum day russian Economy open Helsinki today
21,positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",1,MegaFon subscriber base increase 16.1 2009 50.5 million user December 31 market share number customer amount 24 late 2009 23 late 2008 accord TeliaSonera estimate
22,positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",1,net income life insurance double EUR 6.8 mn EUR 3.2 mn net income non life insurance rise EUR 5.2 mn EUR 1.5 mn corresponding period 2009
23,positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),1,net sale increase EUR193 .3 m EUR179 .9 m pretax profit rise 34.2 EUR43 .1 m. EUR1 = USD1 .4
24,positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",1,net sale surge 18.5 EUR167 .8 m. Teleste say EUR20 .4 m 12.2 sale come acquisition 2009
25,positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,1,Nordea Group operating profit increase 2010 18 percent year year 3.64 billion euro total revenue 3 percent 9.33 billion euro
26,positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",1,operate profit month period increase EUR13 .6 m net sale increase EUR394 .7 m compare corresponding period 2005
27,positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",1,operate profit month period increase EUR3 .1 m net sale increase EUR61 .5 m compare corresponding period 2007
28,positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",1,operate profit month period increase EUR1 .2 m revenue increase EUR20 .2 m compare corresponding period 2005
29,positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",1,"brazilian unit finnish security solution provider F Secure sign 1,500 new client year online news source Reseller Web quote division commercial director Vladimir Brand+_o say"
30,positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",1,company net profit rise 11.4 year 82.2 million euro 2005 sale 686.5 million euro 13.8 year company say early
31,positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",1,lithuanian beer market 14.41 million liter January rise 0.8 percent year early figure Lithuanian Brewers Association report cite result member
32,positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",1,"vike Line cargo revenue increase 5.4 EUR 21.46 mn cargo volume increase 2.4 70,116 cargo unit"
33,positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",1,"fair value property portfolio double result kapiteeli acquisition total EUR 2,686.2 1,259.7 million"
34,positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,1,10 February 2011 finnish medium company Sanoma Oyj HEL SAA1V say yesterday 2010 net profit triple EUR297 .3 m EUR107 .1 m 2009 announce proposal raise payout
35,positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",1,Helsinki eliiv today report EPS EUR1 .13 2009 increase EPS EUR1 .12 2008
36,positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",1,Aspo Plc STOCK EXCHANGE RELEASE February 11 2011 at8 .45 a.m. ESL Shipping Ltd Aspo Group sign new long term contract Rautaruukki Corporation marine transport raw material Baltic Sea
37,positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",1,commission income increase 22 EUR 4.4 mn lending volume rise 13.5
38,positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",1,January traffic measure revenue passenger kilometre RPK go 3.2 capacity measure available seat kilometre ASK rise 12.2
39,positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",1,January September 2010 Fiskars net profit go 14 year year EUR 65.4 million net sale EUR 525.3 million EUR 487.7 million
40,positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",1,net income life insurance rise EUR 16.5 mn EUR 14.0 mn net income non life insurance EUR 22.6 mn EUR 15.2 mn 2009
41,positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",1,"Nyrstar agree supply Talvivaara 150,000 tonne sulphuric acid annum use Talvivaara leach process period supply zinc concentrate"
42,positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",1,sale Department Store Division Hobby Hall increase 7 sale clothing store subsidiary Seppala decrease 4
43,positive,Sales have risen in other export markets .,1,sale rise export market
44,positive,Sales increased due to growing market rates and increased operations .,1,sale increase grow market rate increase operation
45,positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,1,agreement strengthen long term partnership Nokia Siemens Networks
46,positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",1,agreement sign Biohit Healthcare Ltd UK base subsidiary Biohit Oyj finnish public company develop manufacture market liquid handling product diagnostic test system
47,positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,1,company estimate carry investment lead increase net sale 2010 2009 reach EUR 141.7 million
48,positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",1,company order book stand 1.5 bln euro $ 2.2 bln September 30 2007 24.2 pct year international order amount 365 mln euro $ 534.3 mln
49,positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",1,company say paper demand increase main market include publication paper increase average paper price 4 percent compare year
50,positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",1,world second large stainless steel maker say net profit month period Dec. 31 surge euro603 million us$ 781 million euro3 .33 us$ 4.31 share euro172 million euro0 .94 share previous year
51,positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",1,framework partnership Nokia Siemens Networks sign initial framework purchase agreement Sitronics subsidiary JSC Mikron large manufacturer exporter microelectronic component Russia
52,positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",1,Seppala revenue increase 0.2 EUR10 .1 m. Finland revenue go down 2.4 EUR6 .8 m sale abroad rise 6.2 EUR3 .3 m. sale increase baltic country Russia Ukraine
53,positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",1,share Standard Chartered STAN rise 1.2 FTSE 100 Royal Bank Scotland RBS share rise 2 Barclays share BARC BCS 1.7
54,positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,1,share Nokia Corp. rise Thursday cell phone maker say quarter earning double share global handset market increase
55,positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",1,financial report publish Friday SEB say net profit soar SEK6 .745 bn 2010 year early SEK1 .114 bn propose 50 dividend increase SEK1 .50 share
56,positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,1,sale Department Store Division increase 15 sale clothing store subsidiary Seppala increase 8 sale Hobby Hall decrease 12
57,neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",0,request finnish medium company Alma Media newspaper research manager Jari Kaivo oja Finland Futures Research Centre Turku School Economics draw future scenario Finland national economy model develop University Denver
58,neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",0,Sweden Gallerix accumulate SEK denominate sale down 1 EUR denominate sale 11
59,neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,0,company support global customer develop new technology offer fast route product development application volume production
60,neutral,"When this investment is in place , Atria plans to expand into the Moscow market .",0,investment place Atria plan expand Moscow market
61,neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",0,` ` new agreement continuation theagreement sign early year Lemminkainen Group Cramo acquire entire construction machine fleet oflemminkainen Talo Oy Ita ja Pohjois Suomo sign asimilar agreement say Tatu Hauhio manage director ofCramo Finland
62,positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",1,contract envisage construction ferryboat option unit confirm total value 500 mln euro $ 645.8 mln
63,neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",0,June sell 30 percent stake Nordstjernan investment group take option acquire EQT remain share
64,positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",1,KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 09.30 1 1 Kesko Corporation Aspo plc today sign agreement Aspo acquire share capital Kauko Telko Ltd subsidiary wholly own Kesko
65,positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,1,Sponda Plc Stock Exchange Release 5 December 2006 15.45 EUR 1.5 billion syndicate credit FACILITY SPONDA Sponda sign agreement year syndicate credit facility total EUR 1.5 billion
66,neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,0,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 1 BASWARE share subscription warrant INCREASE share capital total 119 850 share subscribe BasWare Warrant Program
67,positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",1,contract cover hdo platform ac800 CXE880 optical Fttb node design increase forward return path capacity transmission network
68,neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,0,new plant plan electricity generation capacity 350 megawatt MW same heat generation capacity
69,positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",1,"OMX Helsinki 25 index 0.92 pct 2,518.67 Helsinki CAP portfolio index 0.91 pct high 4,711.19"
70,neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",0,sale growth car considerably influence tire market
71,neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",0,"maximum 666,104 new share subscribe exercise b option 2004 stock option plan"
72,neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",0,"result share issue number company share increase 391,630 share share capital total EUR 15,665.20"
73,neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",0,finnish real estate investor Sponda Plc say Wednesday 12 March sign agreement Danske Bank s Helsinki Branch 7 year EUR150 m credit facility Ilmarinen Mutual Pension Insurance Company 7 year EUR50 m credit facility
74,neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",0,route Helsinki Finland Tallinn Estonia cargo volume increase 36 cargo volume Finland Sweden fall 9
75,neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",0,measure include increase synergy economy scale Grimaldi Group personnel adjustment divestment redelivery excess tonnage
76,positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",1,"Rinkuskiai raise sale 18.1 percent 1.37 million liter sale Kauno Alus grow 14.3 percent 960,000 liter"
77,neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,0,TELECOMWORLDWIRE-7 April 2006 TJ Group Plc sell stake Morning Digital Design Oy finnish company TJ Group Plc say Friday 7 April sign agreement sell share Morning Digital Design Oy Edita Oyj
78,positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,1,TELECOMWORLDWIRE-7 April 2006 TJ Group Plc sell stake Morning Digital Design Oy finnish company TJ Group Plc say Friday 7 April sign agreement sell share Morning Digital Design Oy Edita Oyj
79,neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",0,"718,430 new Series share subject trading Helsinki Stock Exchange Main List old Series share July 3 2006"
80,neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,0,fuel purchase contract sign month delivery September November
81,neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,0,Tiimari operate 194 store country include core finnish market generate turnover 76.5 mln eur 2005
82,positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,1,agreement Biohit focus supplier pipettor disposable pipettor tip VWR customer Europe
83,positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",1,combination service enable offer complex strengthen service chain not limited Baltic port connection get access world wide Grimaldi Network Mediterranean Africa North America ` ` say Uwe Bakosch
84,neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,0,blind spot come 1 vantage point allow investigator story high resolution no unbroken video
85,positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",1,company expect turnover 2010 slightly increase level 2009 add ` ` market predictability poor trustworthy forecast market development contract manufacturing business current year
86,positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,1,acquisition considerably increase Kemira sale market position russian metal industry coating market
87,positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",1,January September 2007 Finnlines net sale rise EUR 505.4 mn EUR 473.5 mn corresponding period 2006
88,positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",1,adjust change Group structure Division net sale increase 1.7
89,positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",1,` ` change optimize operational efficiency grow business say Julia Prohaska director marketing communication Fiskars
90,positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",1,` ` invest not physical infrastructure provide know manage develop science technology park say Sunrise Valley director Andrius Bagdonas
91,positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",1,4 February 2011 finnish broadband datum communication system provider Teleste Oyj HEL TLT1V see net profit jump EUR2 .1 m quarter 2010 EUR995 000 same period 2009
92,positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,1,Finnish Aktia Group operating profit rise EUR 17.5 mn quarter 2010 EUR 8.2 mn quarter 2009
93,positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,1,Finnish Bank + land consolidated net operating profit increase EUR 4.8 mn quarter 2005 EUR 6.4 mn quarter 2006
94,positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",1,finnish financial group Aktia report operating profit EUR 44.4 mn January September 2009 EUR 37.3 mn corresponding period 2008
95,positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",1,finnish high technology provider Vaahto Group report net sale EUR 41.8 mn accounting period September 2007 February 2008 increase 11.2 year early
96,positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,1,net sale finnish food industry company L+Ænnen Tehtaat continue operation increase 13 2008 EUR 349.1 mn EUR 309.6 mn 2007
97,positive,An individual promotion also generated slightly higher-than-expected revenues .,1,individual promotion generate slightly high expect revenue
98,positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,1,Biohit service current Genesis customer customer base expect expand result agreement
99,positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",1,operating profit turnover month period increase respectively EUR0 .9 m EUR8 .3 m compare corresponding period 2005
100,positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,1,circulation revenue increase 5 Finland 4 Sweden 2008
101,positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,1,clothing chain Sepp+Æl+Æ net sale increase 7.0 EUR 30.8 mn
102,positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,1,construction volume grow rate 10 15 percent annually
103,positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,1,finnish swedish construction market experience estimate 4 annual growth 2008
104,positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",1,Biohit estimate total net sale continue grow 2009 favourable trend net sale lead profit 2009
105,positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",1,2009 Fiskars cash flow operating activity amount EUR121 m EUR97 m previous year
106,positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",1,"Lithuania operating profit rise EUR 190,000 EUR 70,000 corresponding period 2005"
107,positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",1,"fourth quarter 2008 net sale increase 2 EUR 1,050.7 mn EUR 1,027.0 mn fourth quarter 2007"
108,positive,"International sales rose by 59.8 % to EUR 1,244.4 mn .",1,"international sale rise 59.8 EUR 1,244.4 mn"
109,neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,0,Kalmar Espana generate net sale 11.3 mln euro $ 14.8 mln 2005
110,positive,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,1,net sale grow period x20ac 402 million $ 585US million x20ac 401 million 2006
111,positive,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,1,net sale increase EUR655 m April June 2010 eur438 m year early
112,positive,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",1,net sale rise 25.5 year year EUR59 .6 m number charger deliver go 41 65.9 million piece
113,positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",1,net sale total EUR 93.6 mn EUR 93.2 mn corresponding period 2005
114,positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",1,Nokia note average selling price handset decline period mobile phone profit margin rise 22 percent 13 percent year ago quarter
115,positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,1,operate profit increase 145.1 EUR 8.3 mn EUR 3.4 mn
116,positive,Operating profit margin increased from 11.2 % to 11.7 % .,1,operate profit margin increase 11.2 11.7
117,positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,1,operate profit rise EUR 3.11 mn EUR 1.22 mn corresponding period 2009
118,positive,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,1,operate profit rise EUR 5mn EUR 2.8 mn fourth quarter 2008
119,positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",1,operate profit EUR 24.5 mn EUR 23.0 mn
